date,chunk,ticker,norm_score,raw_score,percentile,conviction,layer,layer_name,industry,momentum_pct,rsi_euphoria,borrow_fee,flow,price,data_source
2026-06-09,1,AIFC,10.00,6.27,96.5,A,4,Data,Software - Infrastructure,-93.6,2.7,15.9,low_volume,0.66,finnhub
2026-06-09,1,AREN,10.00,6.17,96.5,A,5,Models,Internet Content & Information,-81.9,4.1,20.0,neutral,1.31,polygon
2026-06-09,1,BBAI,10.00,6.02,96.5,A,5,Models,Information Technology Services,-51.6,5.7,15.6,neutral,4.31,polygon
2026-06-09,1,BATL,10.00,6.95,96.5,A,1,Energy,Oil & Gas E&P,-95.1,2.7,25.9,dark_pool_buying,1.36,polygon
2026-06-09,1,BTQ,10.00,6.15,96.5,A,4,Data,Software - Infrastructure,-69.6,6.6,7.6,elevated_volume,4.30,polygon
2026-06-09,1,CAN,10.00,6.51,96.5,A,3,Infra,Computer Hardware,-82.7,2.2,16.6,neutral,0.35,finnhub
2026-06-09,1,CIEN,10.00,6.11,96.5,A,3,Infra,Communication Equipment,-25.6,4.2,7.0,dark_pool_buying,466.67,finnhub
2026-06-09,1,CSPI,10.00,6.58,96.5,A,3,Infra,Information Technology Services,-44.0,3.0,47.7,elevated_volume,8.30,finnhub
2026-06-09,1,DAVA,10.00,6.66,96.5,A,4,Data,Software - Infrastructure,-83.4,2.0,17.2,neutral,2.81,finnhub
2026-06-09,1,ALIT,9.87,5.97,95.9,A,5,Models,Software - Application,-87.4,4.4,9.5,neutral,0.73,polygon
2026-06-09,1,BTDR,9.69,5.94,95.3,A,3,Infra,Software - Application,-28.6,7.1,29.5,elevated_volume,18.49,polygon
2026-06-09,1,AIXC,9.51,5.91,94.7,A,4,Data,Software - Infrastructure,-78.5,5.4,3.7,neutral,1.29,polygon
2026-06-09,1,DGII,9.27,5.87,94.1,A,3,Infra,Communication Equipment,-3.7,6.0,16.5,neutral,67.24,finnhub
2026-06-09,1,ATO,9.21,5.86,94.0,A,1,Energy,Utilities - Regulated Gas,-12.2,2.9,9.7,neutral,167.89,polygon
2026-06-09,1,DLXY,10.00,6.17,96.5,B,1,Energy,Oil & Gas Refining & Marketing,-93.1,4.7,1.0,elevated_volume,0.47,simulated
2026-06-09,1,DOCU,10.00,6.85,96.5,B,5,Models,Software - Application,-45.7,4.4,16.2,dark_pool_buying,46.16,simulated
2026-06-09,1,DQ,10.00,6.36,96.5,B,2,Chips,Semiconductor Equipment & Materials,-56.4,3.5,9.8,elevated_volume,15.57,simulated
2026-06-09,1,FUTU,10.00,6.32,96.5,B,8,Distrib,Capital Markets,-53.5,2.5,8.7,low_volume,91.08,simulated
2026-06-09,1,FVRR,10.00,6.19,96.5,B,5,Models,Internet Content & Information,-68.1,4.2,14.4,neutral,10.25,simulated
2026-06-09,1,GAUZ,10.00,6.17,96.5,B,2,Chips,Electronic Components,-93.7,2.5,1.0,low_volume,0.60,simulated
2026-06-09,1,GDS,10.00,6.20,96.5,B,3,Infra,Information Technology Services,-27.0,2.9,15.4,neutral,34.69,simulated
2026-06-09,1,GETY,10.00,6.52,96.5,B,5,Models,Internet Content & Information,-66.9,3.7,39.2,neutral,0.78,simulated
2026-06-09,1,HUBS,10.00,6.12,96.5,B,5,Models,Software - Application,-65.7,5.0,11.4,neutral,208.12,simulated
2026-06-09,1,IDN,10.00,6.09,96.5,B,5,Models,Software - Application,-53.7,4.6,4.1,neutral,4.16,simulated
2026-06-09,1,JKHY,10.00,6.52,96.5,B,3,Infra,Information Technology Services,-33.9,2.6,15.6,neutral,126.37,simulated
2026-06-09,1,DTSS,9.93,5.98,96.2,B,4,Data,Software - Infrastructure,-63.2,5.3,1.0,neutral,0.87,simulated
2026-06-09,1,FICO,9.93,5.98,96.2,B,5,Models,Software - Application,-37.3,5.3,14.3,neutral,1207.34,simulated
2026-06-09,1,GIBO,9.87,5.97,95.9,B,5,Models,Internet Content & Information,-99.7,4.8,11.3,neutral,1.30,simulated
2026-06-09,1,EZPW,9.81,5.96,95.6,B,3,Infra,Credit Services,-9.9,3.9,44.5,neutral,31.23,simulated
2026-06-09,1,HPE,9.81,5.96,95.6,B,3,Infra,Communication Equipment,-11.2,7.5,12.7,dark_pool_buying,49.87,simulated
2026-06-09,1,HOOD,9.57,5.92,95.2,B,8,Distrib,Capital Markets,-44.2,5.7,4.4,neutral,85.04,simulated
2026-06-09,1,GEOS,9.51,5.91,94.7,B,1,Energy,Oil & Gas Equipment & Services,-72.5,4.6,8.6,neutral,7.81,simulated
