date,chunk,ticker,norm_score,raw_score,percentile,conviction,layer,layer_name,industry,momentum_pct,rsi_euphoria,borrow_fee,flow,price,data_source
2026-06-03,2,LDOS,10.00,6.17,95.4,A,3,Infra,Information Technology Services,-36.1,4.7,10.2,neutral,126.82,polygon
2026-06-03,2,LEU,10.00,6.17,95.4,B,1,Energy,Uranium,-54.3,4.8,18.0,neutral,199.13,simulated
2026-06-03,2,MIAX,10.00,6.22,95.4,B,8,Distrib,Capital Markets,-25.2,2.6,8.9,elevated_volume,42.51,simulated
2026-06-03,2,MOMO,10.00,6.42,95.4,B,5,Models,Internet Content & Information,-33.8,3.9,12.7,dark_pool_buying,5.76,simulated
2026-06-03,2,P,10.00,6.15,95.4,B,3,Infra,Computer Hardware,-15.9,5.0,10.3,dark_pool_buying,82.98,simulated
2026-06-03,2,PATH,10.00,6.15,95.4,B,5,Models,Software - Infrastructure,-36.9,6.9,21.0,elevated_volume,12.18,simulated
2026-06-03,2,PGY,10.00,6.12,95.4,B,4,Data,Software - Infrastructure,-65.1,6.4,14.9,neutral,15.29,simulated
2026-06-03,2,PLUS,10.00,6.21,95.4,B,5,Models,Software - Application,-9.1,5.0,18.1,dark_pool_buying,84.36,simulated
2026-06-03,2,PPLC,10.00,6.30,95.4,B,1,Energy,Utilities - Regulated Electric,-8.1,3.6,n/a,dark_pool_buying,47.40,simulated
2026-06-03,2,QUBT,10.00,6.40,95.4,B,5,Models,Computer Hardware,-50.2,5.2,14.8,neutral,12.25,simulated
2026-06-03,2,RCON,10.00,6.64,95.4,B,1,Energy,Oil & Gas Equipment & Services,-86.0,3.1,2.1,neutral,0.63,simulated
2026-06-03,2,REKR,10.00,6.17,95.4,B,4,Data,Software - Infrastructure,-73.9,5.3,15.2,low_volume,0.83,simulated
2026-06-03,2,RGTI,10.00,6.44,95.4,B,5,Models,Computer Hardware,-52.3,6.8,8.2,elevated_volume,26.88,simulated
2026-06-03,2,S,10.00,6.28,95.4,B,7,Security,Software - Infrastructure,-12.3,6.2,10.4,dark_pool_buying,17.35,simulated
2026-06-03,2,SERV,10.00,6.31,95.4,B,6,Apps,Specialty Industrial Machinery,-48.7,5.5,21.3,elevated_volume,9.07,simulated
2026-06-03,2,TGL,10.00,6.61,95.4,B,5,Models,Software - Application,-86.8,5.3,1.8,low_volume,4.29,simulated
2026-06-03,2,TIGR,10.00,6.27,95.4,B,8,Distrib,Capital Markets,-61.7,3.4,9.6,neutral,4.97,simulated
2026-06-03,2,UPWK,10.00,6.38,95.4,B,5,Models,Internet Content & Information,-59.4,5.9,19.4,neutral,8.98,simulated
2026-06-03,2,VEEA,10.00,7.13,95.4,B,3,Infra,Information Technology Services,-73.5,5.1,3.7,dark_pool_buying,0.56,simulated
2026-06-03,2,VIA,10.00,6.58,95.4,B,5,Models,Software - Application,-71.4,5.7,22.9,elevated_volume,15.44,simulated
2026-06-03,2,VSAT,10.00,6.13,95.4,B,3,Infra,Communication Equipment,-16.2,5.2,19.6,dark_pool_buying,72.61,simulated
2026-06-03,2,VTIX,10.00,6.43,95.4,B,3,Infra,Computer Hardware,-84.2,5.1,6.3,dark_pool_buying,3.85,simulated
2026-06-03,2,WU,10.00,6.24,95.4,B,3,Infra,Credit Services,-20.5,2.5,18.0,neutral,7.97,simulated
2026-06-03,2,ZS,10.00,6.29,95.4,B,7,Security,Software - Infrastructure,-57.1,4.9,13.2,elevated_volume,144.15,simulated
2026-06-03,2,WSHP,9.91,6.09,95.3,B,5,Models,Internet Content & Information,-96.5,5.1,18.7,low_volume,7.00,simulated
2026-06-03,2,SOUN,9.53,6.02,94.5,B,5,Models,Software - Application,-58.8,6.4,22.4,neutral,8.82,simulated
2026-06-03,2,SNAP,9.32,5.98,94.1,B,5,Models,Internet Content & Information,-44.3,5.7,9.2,neutral,5.76,simulated
2026-06-03,2,PSQH,9.26,5.97,93.9,B,5,Models,Software - Application,-78.3,3.6,1.0,neutral,0.61,simulated
2026-06-03,2,ZBRA,9.21,5.96,93.7,B,3,Infra,Communication Equipment,-25.5,5.9,13.9,elevated_volume,254.44,simulated
