date,chunk,ticker,norm_score,raw_score,percentile,conviction,layer,layer_name,industry,momentum_pct,rsi_euphoria,borrow_fee,flow,price,data_source
2026-05-31,2,LAW,10.00,6.00,95.4,A,5,Models,Software - Application,-55.2,4.7,7.3,low_volume,3.99,finnhub
2026-05-31,2,LDOS,10.00,6.17,95.4,A,3,Infra,Information Technology Services,-35.7,4.6,10.2,neutral,127.80,finnhub
2026-05-31,2,LEU,10.00,6.34,95.4,B,1,Energy,Uranium,-58.1,3.4,18.0,neutral,182.47,simulated
2026-05-31,2,MCRP,10.00,6.03,95.4,B,3,Infra,Computer Hardware,-39.5,5.0,2.1,elevated_volume,2.66,simulated
2026-05-31,2,MFI,10.00,6.23,95.4,B,5,Models,Software - Application,-79.7,4.4,8.4,elevated_volume,9.85,simulated
2026-05-31,2,MKTX,10.00,6.26,95.4,B,8,Distrib,Capital Markets,-41.6,2.1,14.2,neutral,130.04,simulated
2026-05-31,2,MSTR,10.00,6.06,95.4,B,8,Distrib,Software - Application,-65.1,3.2,8.9,neutral,159.09,simulated
2026-05-31,2,NCNO,10.00,6.89,95.4,B,5,Models,Software - Application,-50.8,3.7,17.1,elevated_volume,16.08,simulated
2026-05-31,2,P,10.00,6.15,95.4,B,3,Infra,Computer Hardware,-19.4,5.1,10.3,dark_pool_buying,79.51,simulated
2026-05-31,2,PGY,10.00,6.12,95.4,B,4,Data,Software - Infrastructure,-65.5,5.0,14.9,neutral,15.12,simulated
2026-05-31,2,PTC,10.00,6.05,95.4,B,5,Models,Software - Application,-35.9,3.6,9.1,neutral,138.73,simulated
2026-05-31,2,SMTC,10.00,6.20,95.4,B,2,Chips,Semiconductors,-8.3,6.5,7.2,dark_pool_buying,152.54,simulated
2026-05-31,2,SNPS,10.00,6.17,95.4,B,2,Chips,Software - Infrastructure,-26.3,3.4,8.7,dark_pool_buying,475.62,simulated
2026-05-31,2,SOUN,10.00,6.02,95.4,B,5,Models,Software - Application,-57.9,5.2,22.4,neutral,9.00,simulated
2026-05-31,2,SRAD,10.00,6.23,95.4,B,5,Models,Software - Application,-58.4,5.3,5.3,low_volume,13.21,simulated
2026-05-31,2,TEAM,10.00,6.24,95.4,B,5,Models,Software - Application,-51.3,6.5,8.9,neutral,107.61,simulated
2026-05-31,2,TYL,10.00,6.05,95.4,B,5,Models,Software - Application,-48.8,4.4,10.8,neutral,313.15,simulated
2026-05-31,2,VEEA,10.00,6.73,95.4,B,3,Infra,Information Technology Services,-71.2,5.5,3.7,elevated_volume,0.60,simulated
2026-05-31,2,VIA,10.00,6.40,95.4,B,5,Models,Software - Application,-71.8,3.8,22.9,neutral,15.23,simulated
2026-05-31,2,CD,10.00,7.16,95.4,B,8,Distrib,Capital Markets,-77.0,5.9,50.0,elevated_volume,8.23,simulated
2026-05-31,2,LYFT,9.94,5.98,95.3,B,5,Models,Software - Application,-42.6,4.7,21.7,neutral,14.11,simulated
2026-05-31,2,PRAA,9.82,5.96,95.2,B,3,Infra,Credit Services,-31.4,2.0,5.5,neutral,15.26,simulated
2026-05-31,2,MAX,9.52,5.91,94.9,B,5,Models,Internet Content & Information,-35.1,4.5,15.9,neutral,8.90,simulated
2026-05-31,2,MU,9.10,5.84,93.6,B,2,Chips,Semiconductors,+0.0,7.0,2.9,neutral,971.00,simulated
