date,chunk,ticker,norm_score,raw_score,percentile,conviction,layer,layer_name,industry,momentum_pct,rsi_euphoria,borrow_fee,flow,price,data_source,market_cap_b,pe_ttm,forward_pe,eps_ttm,dividend_yield_pct,week52_high,week52_low,pct_from_52w_high,pct_from_52w_low,avg_vol_30d_m,rel_volume,short_float_pct,short_ratio,analyst_target,upside_pct,revenue_ttm_b,gross_margin_pct,operating_margin_pct,beta,description
2026-07-17,1,AIFC,10.00,6.17,96.8,A,4,Data,Software - Infrastructure,-93.9,4.7,29.2,neutral,0.55,polygon,0.08,n/a,n/a,-7.66,n/a,9.76,0.5,-94.4,9.2,1.87,0.73,10.4,10.4,6.5,1090.9,0.02,47.9,-58.2,1.75,"AI Financial Corporation, together with its subsidiaries, provides blockchain-powered technologies for tokenization, tra…"
2026-07-17,1,AISP,10.00,6.42,96.8,A,4,Data,Software - Infrastructure,-70.8,2.0,14.1,low_volume,2.04,polygon,0.07,15.7,51.0,0.13,n/a,7.2,2.02,-71.7,1.0,0.63,0.44,13.7,4.0,6.5,218.6,0.02,53.4,-24.9,0.55,"Airship AI Holdings, Inc"
2026-07-17,1,ALMU,10.00,6.40,96.8,A,2,Chips,Semiconductors,-51.9,3.0,16.6,neutral,15.14,polygon,0.28,n/a,-49.6,-0.35,n/a,31.79,10.24,-52.4,47.9,1.36,0.74,26.0,3.5,30.5,101.5,0.01,37.7,-173.9,-0.16,"Aeluma, Inc"
2026-07-17,1,AMST,10.00,6.61,96.8,A,5,Models,Software - Application,-72.9,4.8,2.0,low_volume,1.05,polygon,0.01,n/a,n/a,-0.63,n/a,4.78,0.77,-78.0,36.4,3.36,0.52,2.2,0.5,n/a,n/a,0.0,100.0,-820.9,0.94,Amesite Inc
2026-07-17,1,ASTS,10.00,6.17,96.8,A,3,Infra,Communication Equipment,-58.7,4.1,13.0,neutral,55.01,polygon,21.35,n/a,-268.1,-1.49,n/a,133.86,36.08,-58.9,52.5,22.83,0.9,21.7,2.6,79.78,45.0,0.08,44.8,-1014.0,2.68,"AST SpaceMobile, Inc"
2026-07-17,1,AWRE,10.00,6.09,96.8,A,5,Models,Software - Application,-60.9,3.5,4.0,elevated_volume,1.15,polygon,0.02,n/a,-8.8,-0.35,n/a,2.95,1.02,-61.0,12.7,0.05,1.4,0.5,1.6,n/a,n/a,0.02,91.3,-107.8,1.0,"Aware, Inc"
2026-07-17,1,BATL,10.00,6.03,96.8,A,1,Energy,Oil & Gas E&P,-94.3,5.8,28.3,neutral,1.57,polygon,0.03,n/a,6.8,-5.61,n/a,29.7,1.0,-94.7,57.0,15.11,0.86,92.7,0.2,n/a,n/a,0.16,40.7,-127.9,0.45,"Battalion Oil Corporation, an independent energy company, engages in the acquisition, production, exploration, and devel…"
2026-07-17,1,BLKB,10.00,6.14,96.8,A,5,Models,Software - Application,-53.9,7.4,17.5,low_volume,33.03,finnhub,1.52,11.2,5.6,2.95,n/a,74.88,25.58,-55.9,29.1,0.78,0.59,17.5,4.9,48.0,45.3,1.14,59.2,18.3,1.01,"Blackbaud, Inc"
2026-07-17,1,BTQ,10.00,6.33,96.8,A,4,Data,Software - Infrastructure,-76.2,1.5,6.0,low_volume,3.37,polygon,0.49,n/a,-234.2,-0.21,n/a,16.0,2.09,-78.9,61.2,3.73,0.44,n/a,2.4,10.09,199.5,0.0,100.0,-62099.0,-15.46,BTQ Technologies Corp
2026-07-17,1,BTBT,10.00,6.42,96.8,A,3,Infra,Capital Markets,-65.2,2.3,9.3,neutral,1.47,polygon,0.52,n/a,n/a,-0.41,n/a,4.55,1.25,-67.7,17.6,26.28,1.02,15.2,1.9,4.12,180.6,0.11,55.0,-520.3,4.03,"Bit Digital, Inc"
2026-07-17,1,CAMT,10.00,6.03,96.8,A,2,Chips,Semiconductor Equipment & Materials,-28.7,3.9,15.4,neutral,147.92,finnhub,6.9,152.5,32.7,0.97,n/a,215.99,75.75,-31.5,95.3,0.51,0.93,9.3,5.0,187.58,26.8,0.5,51.0,22.4,1.57,Camtek Ltd
2026-07-17,1,DAVA,10.00,6.03,96.8,A,4,Data,Software - Infrastructure,-81.5,5.7,15.8,low_volume,2.80,finnhub,0.15,n/a,3.3,-10.38,n/a,15.2,2.55,-81.6,9.8,0.39,0.67,7.0,5.5,5.52,97.3,0.73,21.9,-3.4,1.05,"Endava plc, together with its subsidiaries, provides technology services in North America, Europe, the United Kingdom, a…"
2026-07-17,1,DLR,10.00,6.03,96.8,A,3,Infra,REIT - Specialty,-14.3,2.6,1.0,neutral,173.60,finnhub,65.32,46.7,66.6,3.72,277.0,208.14,146.23,-16.6,18.7,2.78,0.72,0.0,0.0,218.71,26.0,6.31,55.3,17.2,1.05,"Digital Realty Trust, Inc"
2026-07-17,1,AGPU,9.87,5.89,95.6,A,4,Data,Software - Infrastructure,-62.4,5.2,3.8,low_volume,6.76,polygon,0.08,n/a,n/a,-8.72,n/a,32.1,1.03,-78.9,556.3,1.74,0.59,3.0,1.1,n/a,n/a,0.0,31.8,-9720.5,3.45,Axe Compute Inc
2026-07-17,1,AMOD,9.80,5.88,95.4,A,5,Models,Software - Application,-94.5,5.1,2.9,low_volume,4.06,polygon,0.02,n/a,n/a,-14.0,n/a,104.0,3.79,-96.1,7.1,0.05,0.52,1.2,1.0,60.0,1377.8,0.0,100.0,-107763.1,0.59,"Alpha Modus Holdings, Inc"
2026-07-17,1,DGII,9.74,5.87,95.1,A,3,Infra,Communication Equipment,-14.8,4.0,15.2,neutral,63.85,finnhub,2.41,56.5,22.8,1.13,n/a,76.41,30.69,-16.4,108.0,0.38,1.19,7.7,5.2,72.2,13.1,0.48,64.5,13.1,0.96,Digi International Inc
2026-07-17,1,CDW,9.54,5.84,94.5,A,3,Infra,Information Technology Services,-24.8,5.6,15.7,neutral,134.34,finnhub,17.16,15.9,11.4,8.43,192.0,183.66,97.12,-26.9,38.3,2.14,1.03,10.0,5.1,147.56,9.8,22.9,21.6,6.6,0.96,"CDW Corporation provides information technology (IT) solutions in the United States, the United Kingdom, and Canada"
2026-07-17,1,ASML,9.48,5.83,94.3,A,2,Chips,Semiconductor Equipment & Materials,-10.3,4.7,1.3,neutral,1784.87,polygon,685.57,56.8,31.2,31.4,48.0,1999.96,683.48,-10.8,161.1,1.93,1.04,0.3,0.5,2032.76,13.9,n/a,n/a,n/a,n/a,ASML Holding N
2026-07-17,1,BILI,9.35,5.81,94.2,A,5,Models,Internet Content & Information,-47.1,7.8,21.2,neutral,19.00,polygon,7.95,38.8,14.1,0.49,n/a,36.4,15.79,-47.8,20.3,3.03,1.04,7.0,7.7,29.51,55.3,30.82,36.8,2.2,0.69,Bilibili Inc
2026-07-17,1,BTU,9.29,5.80,94.0,A,1,Energy,Thermal Coal,-42.6,3.9,14.0,low_volume,22.62,finnhub,2.76,n/a,6.0,-0.98,127.0,41.14,14.25,-45.0,58.7,3.27,0.6,14.8,3.8,32.83,45.2,3.9,12.0,-4.7,0.37,Peabody Energy Corporation engages in the production of metallurgical and thermal coal
2026-07-17,1,FIGR,10.00,6.47,96.8,B,8,Distrib,Capital Markets,-58.2,6.1,9.2,low_volume,30.87,simulated,6.83,37.6,21.9,0.82,n/a,78.0,25.01,-60.4,23.4,3.91,0.6,7.4,2.8,52.43,69.8,0.51,100.0,24.9,n/a,"Figure Technology Solutions, Inc"
2026-07-17,1,FTCI,10.00,6.24,96.8,B,1,Energy,Solar,-65.6,4.4,27.7,neutral,4.30,simulated,0.07,n/a,161.0,-5.5,n/a,12.75,3.21,-66.3,34.2,0.14,0.99,9.2,10.0,10.25,138.4,0.1,1.4,-69.8,1.81,"FTC Solar, Inc"
2026-07-17,1,GETY,10.00,6.39,96.8,B,5,Models,Internet Content & Information,-77.4,2.0,5.8,low_volume,0.53,simulated,0.22,n/a,2.6,-0.22,n/a,3.21,0.48,-83.4,10.9,7.27,0.5,12.9,0.8,3.92,637.1,0.98,72.8,17.6,2.07,"Getty Images Holdings, Inc"
2026-07-17,1,GOLD,10.00,6.58,96.8,B,8,Distrib,Capital Markets,-39.2,4.0,21.9,neutral,38.68,simulated,1.12,12.6,10.7,3.07,202.0,66.7,20.55,-42.0,88.2,0.5,1.05,14.8,7.0,65.8,70.1,23.02,1.8,0.9,0.61,Gold
2026-07-17,1,GRAB,10.00,5.97,96.8,B,5,Models,Software - Application,-42.2,6.3,13.6,low_volume,3.73,simulated,15.26,93.2,26.9,0.04,n/a,6.62,3.18,-43.7,17.3,50.68,0.63,7.4,4.6,5.9,58.1,3.55,40.2,2.7,0.88,"Grab Holdings Limited operates the Grab superapp in Cambodia, Indonesia, Malaysia, Myanmar, the Philippines, Singapore, …"
2026-07-17,1,INUV,10.00,6.49,96.8,B,5,Models,Software - Application,-81.1,4.3,3.1,dark_pool_buying,1.11,simulated,0.02,n/a,-111.0,-0.13,n/a,6.27,1.0,-82.3,11.0,0.22,2.63,1.2,1.1,4.12,271.6,0.07,69.4,-37.4,1.18,"Inuvo, Inc"
2026-07-17,1,INOD,9.99,5.91,96.6,B,3,Infra,Information Technology Services,-49.8,2.9,9.0,low_volume,60.97,simulated,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2026-07-17,1,FTS,9.93,5.90,96.5,B,1,Energy,Utilities - Regulated Electric,+0.0,5.6,33.8,neutral,58.67,simulated,29.87,24.1,20.9,2.43,320.0,58.78,46.66,-0.2,25.7,0.71,0.77,n/a,13.5,56.0,-4.6,12.23,45.5,28.8,0.43,Fortis Inc
2026-07-17,1,INDI,9.80,5.88,95.4,B,2,Chips,Semiconductors,-36.5,5.2,37.4,neutral,3.81,simulated,0.81,n/a,26.5,-0.76,n/a,6.05,2.32,-37.0,64.2,6.14,0.75,32.2,11.1,5.91,55.0,0.22,-29.9,-70.1,2.74,"indie Semiconductor, Inc"
2026-07-17,1,EVR,9.74,5.87,95.1,B,8,Distrib,Capital Markets,-8.3,5.1,8.1,neutral,349.71,simulated,13.53,19.7,15.0,17.75,101.0,388.71,265.87,-10.0,31.5,0.47,1.06,2.9,2.9,383.6,9.7,4.55,94.1,24.4,1.49,Evercore Inc
2026-07-17,1,INR,9.74,5.87,95.1,B,1,Energy,Oil & Gas E&P,-32.0,5.5,19.6,neutral,13.08,simulated,0.25,4.5,3.1,2.88,n/a,19.59,11.13,-33.2,17.5,0.41,0.82,15.9,6.0,22.62,73.0,0.43,78.4,8.8,n/a,"Infinity Natural Resources, Inc"
2026-07-17,1,IDCC,9.54,5.84,94.5,B,5,Models,Software - Application,-32.6,4.3,19.4,low_volume,265.59,simulated,6.86,25.8,23.6,10.3,104.0,412.6,213.06,-35.6,24.7,0.37,0.64,13.4,6.2,462.67,74.2,0.83,84.7,40.0,1.41,"InterDigital, Inc"
2026-07-17,1,HTCR,9.48,5.83,94.3,B,5,Models,Software - Application,-88.1,3.9,2.7,neutral,2.61,simulated,0.0,n/a,23.7,-1.98,n/a,33.4,2.5,-92.2,4.4,0.08,0.72,4.2,0.6,n/a,n/a,0.01,33.0,-123.7,1.65,"HeartCore Enterprises, Inc"
2026-07-17,1,ELLO,9.16,5.78,93.7,B,1,Energy,Utilities - Renewable,-36.6,4.7,1.0,neutral,18.90,simulated,0.26,n/a,n/a,-1.67,n/a,30.34,16.09,-37.7,17.5,0.01,0.76,0.1,0.2,n/a,n/a,0.04,48.8,-31.1,0.98,Ellomay Capital Ltd
2026-07-17,1,EZPW,9.16,5.78,93.7,B,3,Infra,Credit Services,-8.6,4.7,33.4,neutral,32.52,simulated,2.0,17.7,15.2,1.84,n/a,37.13,13.08,-12.4,148.6,0.92,0.9,25.6,10.3,40.8,25.5,1.48,58.6,15.2,0.64,"EZCORP, Inc"
2026-07-17,1,DOCN,9.09,5.77,93.6,B,4,Data,Software - Infrastructure,-35.5,3.5,11.9,neutral,117.02,simulated,12.21,52.2,65.2,2.24,n/a,187.5,25.56,-37.6,357.8,3.65,0.85,14.0,3.1,177.69,51.8,0.95,58.5,14.2,1.57,"DigitalOcean Holdings, Inc"
