date,chunk,ticker,norm_score,raw_score,percentile,conviction,layer,layer_name,industry,momentum_pct,rsi_euphoria,borrow_fee,flow,price,data_source
2026-06-06,1,ADBE,10.00,6.05,96.1,A,5,Models,Software - Application,-39.7,5.2,10.9,neutral,251.44,finnhub
2026-06-06,1,AI,10.00,6.83,96.1,A,5,Models,Software - Infrastructure,-64.2,7.0,35.8,dark_pool_buying,10.43,polygon
2026-06-06,1,AISP,10.00,6.99,96.1,A,4,Data,Software - Infrastructure,-60.5,6.0,27.0,dark_pool_buying,2.76,polygon
2026-06-06,1,AIFC,10.00,6.35,96.1,A,4,Data,Software - Infrastructure,-93.8,2.1,15.9,low_volume,0.64,finnhub
2026-06-06,1,AMBR,10.00,6.87,96.1,A,4,Data,Software - Infrastructure,-88.3,3.0,15.1,dark_pool_buying,1.46,polygon
2026-06-06,1,ANY,10.00,6.45,96.1,A,8,Distrib,Capital Markets,-61.5,6.3,3.0,elevated_volume,4.04,polygon
2026-06-06,1,AVGO,10.00,6.28,96.1,A,2,Chips,Semiconductors,-19.9,4.0,7.1,dark_pool_buying,385.73,polygon
2026-06-06,1,BLKB,10.00,6.63,96.1,A,5,Models,Software - Application,-60.5,3.9,18.5,neutral,28.31,polygon
2026-06-06,1,BTM,10.00,6.19,96.1,A,8,Distrib,Capital Markets,-99.4,0.9,2.9,low_volume,0.49,polygon
2026-06-06,1,BTCS,10.00,6.73,96.1,A,8,Distrib,Capital Markets,-80.0,1.8,9.3,neutral,1.30,polygon
2026-06-06,1,CBOE,10.00,6.70,96.1,A,8,Distrib,Financial Data & Stock Exchanges,-23.0,1.6,8.1,dark_pool_buying,281.91,finnhub
2026-06-06,1,CEG,10.00,6.45,96.1,A,1,Energy,Utilities - Independent Power Producers,-36.7,4.4,9.3,dark_pool_buying,254.83,finnhub
2026-06-06,1,CIEN,10.00,6.11,96.1,A,3,Infra,Communication Equipment,-22.1,4.1,7.0,dark_pool_buying,488.21,finnhub
2026-06-06,1,CRWD,10.00,6.07,96.1,A,7,Security,Software - Infrastructure,-14.2,6.1,10.2,dark_pool_buying,671.02,finnhub
2026-06-06,1,DLXY,10.00,6.17,96.1,A,1,Energy,Oil & Gas Refining & Marketing,-92.6,5.0,1.0,elevated_volume,0.49,finnhub
2026-06-06,1,AGPU,9.90,6.03,96.0,A,4,Data,Software - Infrastructure,-57.1,6.2,1.1,neutral,7.73,finnhub
2026-06-06,1,COIN,9.67,5.99,95.7,A,8,Distrib,Financial Data & Stock Exchanges,-63.7,2.5,9.5,neutral,152.40,finnhub
2026-06-06,1,CXM,9.61,5.98,95.4,A,5,Models,Software - Application,-42.5,5.8,16.4,neutral,5.38,finnhub
2026-06-06,1,CRM,9.33,5.93,95.0,A,5,Models,Software - Application,-31.9,5.8,15.2,neutral,185.66,finnhub
2026-06-06,1,CSIQ,9.11,5.89,94.5,A,1,Energy,Solar,-48.9,4.7,26.3,neutral,17.16,finnhub
2026-06-06,1,FUTU,10.00,6.32,96.1,B,8,Distrib,Capital Markets,-52.9,2.5,8.7,low_volume,92.33,simulated
2026-06-06,1,GDS,10.00,6.20,96.1,B,3,Infra,Information Technology Services,-28.5,2.5,15.4,neutral,34.00,simulated
2026-06-06,1,GFAI,10.00,6.63,96.1,B,5,Models,Security & Protection Services,-67.7,5.0,5.0,dark_pool_buying,0.46,simulated
2026-06-06,1,GLNG,10.00,6.70,96.1,B,1,Energy,Oil & Gas Midstream,-11.2,2.3,15.3,neutral,50.67,simulated
2026-06-06,1,GMM,10.00,6.47,96.1,B,3,Infra,Information Technology Services,-97.3,1.0,1.0,elevated_volume,0.08,simulated
2026-06-06,1,GRAB,10.00,6.23,96.1,B,5,Models,Software - Application,-48.2,3.7,12.2,neutral,3.34,simulated
2026-06-06,1,IMSR,10.00,6.17,96.1,B,1,Energy,Utilities - Regulated Electric,-72.1,5.2,5.6,elevated_volume,7.55,simulated
2026-06-06,1,INR,10.00,6.13,96.1,B,1,Energy,Oil & Gas E&P,-32.7,2.6,13.9,neutral,13.16,simulated
2026-06-06,1,INTU,10.00,6.40,96.1,B,5,Models,Software - Application,-63.0,3.0,11.8,neutral,296.76,simulated
2026-06-06,1,IOT,10.00,6.46,96.1,B,4,Data,Software - Infrastructure,-23.0,6.5,22.0,dark_pool_buying,34.80,simulated
2026-06-06,1,JKHY,10.00,6.30,96.1,B,3,Infra,Information Technology Services,-31.9,3.7,15.6,neutral,130.11,simulated
2026-06-06,1,KC,9.84,6.02,95.9,B,5,Models,Software - Application,-35.8,2.7,13.9,neutral,11.69,simulated
2026-06-06,1,FICO,9.61,5.98,95.4,B,5,Models,Software - Application,-41.0,5.5,14.3,neutral,1137.33,simulated
2026-06-06,1,GIBO,9.56,5.97,95.3,B,5,Models,Internet Content & Information,-99.7,4.3,11.3,neutral,1.30,simulated
2026-06-06,1,JCAP,9.22,5.91,94.7,B,3,Infra,Credit Services,-28.7,3.1,9.1,neutral,16.24,simulated
