date,chunk,ticker,norm_score,raw_score,percentile,conviction,layer,layer_name,industry,momentum_pct,rsi_euphoria,borrow_fee,flow,price,data_source,market_cap_b,pe_ttm,forward_pe,eps_ttm,dividend_yield_pct,week52_high,week52_low,pct_from_52w_high,pct_from_52w_low,avg_vol_30d_m,rel_volume,short_float_pct,short_ratio,analyst_target,upside_pct,revenue_ttm_b,gross_margin_pct,operating_margin_pct,beta,description
2026-07-22,1,AIFC,10.00,6.40,96.1,A,4,Data,Software - Infrastructure,-94.4,2.9,29.2,low_volume,0.50,polygon,0.07,n/a,n/a,-7.88,n/a,9.76,0.5,-94.9,0.0,1.69,0.67,10.4,10.4,6.5,1199.7,0.02,47.9,-58.2,1.75,"AI Financial Corporation, together with its subsidiaries, provides blockchain-powered technologies for tokenization, tra…"
2026-07-22,1,AI,10.00,6.51,96.1,A,5,Models,Software - Infrastructure,-72.3,2.3,22.5,neutral,8.07,polygon,1.25,n/a,-17.8,-3.35,n/a,29.3,7.67,-72.6,4.7,6.18,0.82,31.2,5.3,n/a,n/a,0.25,30.9,-213.8,2.05,C3
2026-07-22,1,AISP,10.00,6.42,96.1,A,4,Data,Software - Infrastructure,-70.4,2.2,14.1,low_volume,2.07,polygon,0.07,15.7,51.0,0.13,n/a,7.2,1.94,-71.7,5.4,0.62,0.55,13.7,4.0,6.5,218.6,0.02,53.4,-24.9,0.55,"Airship AI Holdings, Inc"
2026-07-22,1,AMOD,10.00,6.18,96.1,A,5,Models,Software - Application,-95.0,1.8,2.9,low_volume,3.67,polygon,0.02,n/a,n/a,-14.0,n/a,104.0,3.56,-96.6,0.0,0.05,0.28,1.2,1.0,60.0,1587.8,0.0,100.0,-107763.1,0.59,"Alpha Modus Holdings, Inc"
2026-07-22,1,ANY,10.00,6.40,96.1,A,8,Distrib,Capital Markets,-84.9,1.6,1.0,low_volume,1.59,polygon,0.01,n/a,-0.5,-5.32,n/a,12.6,1.08,-87.4,46.7,3.14,0.44,1.5,0.0,n/a,n/a,0.01,22.5,-203.0,3.5,Sphere 3D Corp
2026-07-22,1,APLD,10.00,6.43,96.1,A,3,Infra,Information Technology Services,-39.1,3.6,16.6,neutral,30.22,polygon,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2026-07-22,1,BILI,10.00,6.45,96.1,A,5,Models,Internet Content & Information,-50.8,5.2,21.2,neutral,17.68,polygon,7.4,36.1,13.1,0.49,n/a,36.4,15.79,-51.4,12.0,3.02,0.99,7.0,7.7,29.56,67.2,30.82,36.8,2.2,0.69,Bilibili Inc
2026-07-22,1,BLKB,10.00,6.37,96.1,A,5,Models,Software - Application,-57.6,5.1,17.5,low_volume,30.39,polygon,1.4,10.3,5.2,2.95,n/a,74.88,25.58,-59.3,19.0,0.8,0.68,17.5,4.9,48.0,57.6,1.14,59.2,18.3,1.01,"Blackbaud, Inc"
2026-07-22,1,BTBT,10.00,6.12,96.1,A,3,Infra,Capital Markets,-63.0,3.8,9.3,neutral,1.56,polygon,0.55,n/a,n/a,-0.44,n/a,4.55,1.25,-65.8,24.5,26.45,0.87,15.2,1.9,4.12,165.1,0.11,55.0,-520.3,4.03,"Bit Digital, Inc"
2026-07-22,1,BTDR,10.00,6.40,96.1,A,3,Infra,Software - Application,-52.5,3.7,20.7,low_volume,12.31,polygon,2.99,n/a,-34.6,-1.64,n/a,27.8,6.92,-55.9,77.4,9.6,0.69,32.1,4.5,22.64,84.5,0.74,3.5,-43.4,2.47,Bitdeer Technologies Group operates as a technology company for blockchain and high-performance computing (HPC) in Singa…
2026-07-22,1,DGII,10.00,5.96,96.1,A,3,Infra,Communication Equipment,-11.5,3.3,15.2,low_volume,66.36,finnhub,2.5,58.7,23.7,1.13,n/a,76.41,30.69,-13.2,116.2,0.38,0.68,7.7,5.2,72.2,8.8,0.48,64.5,13.1,0.96,Digi International Inc
2026-07-22,1,CPSH,9.43,5.86,95.2,A,2,Chips,Electronic Components,-59.6,3.3,5.2,low_volume,4.68,finnhub,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2026-07-22,1,BTCS,9.18,5.82,94.9,A,8,Distrib,Capital Markets,-83.1,4.1,7.1,low_volume,1.05,polygon,0.05,n/a,-3.5,-1.57,465.0,6.15,0.96,-82.8,9.6,0.94,0.5,5.6,2.2,n/a,n/a,0.02,17.1,-113.0,3.39,BTCS Inc
2026-07-22,1,DOCU,10.00,6.05,96.1,B,5,Models,Software - Application,-44.3,5.5,10.0,neutral,47.36,simulated,9.05,30.8,9.3,1.54,n/a,86.65,40.16,-45.3,18.0,3.79,0.71,10.1,2.8,59.33,25.2,3.29,79.5,13.4,0.9,"DocuSign, Inc"
