date,chunk,ticker,norm_score,raw_score,percentile,conviction,layer,layer_name,industry,momentum_pct,rsi_euphoria,borrow_fee,flow,price,data_source,market_cap_b,pe_ttm,forward_pe,eps_ttm,dividend_yield_pct,week52_high,week52_low,pct_from_52w_high,pct_from_52w_low,avg_vol_30d_m,rel_volume,short_float_pct,short_ratio,analyst_target,upside_pct,revenue_ttm_b,gross_margin_pct,operating_margin_pct,beta,description
2026-06-16,1,AI,10.00,6.45,95.4,A,5,Models,Software - Infrastructure,-62.9,6.2,35.9,neutral,10.81,finnhub,1.56,n/a,-23.8,-3.35,n/a,30.11,7.67,-64.3,39.9,5.76,0.91,36.9,9.9,8.82,-17.9,0.25,31.4,-213.8,2.03,C3
2026-06-16,1,BEEM,10.00,6.03,95.4,A,1,Energy,Solar,-68.0,3.5,7.6,elevated_volume,1.24,polygon,0.03,n/a,-6.6,-0.9,n/a,4.04,1.1,-68.8,14.5,0.55,4.74,6.1,2.3,2.67,111.7,0.03,10.4,-214.5,n/a,"Beam Global, a clean-technology innovation company, engages in the design, development, engineering, manufacture, and sa…"
2026-06-16,1,BILI,10.00,6.23,95.4,A,5,Models,Internet Content & Information,-51.9,4.8,12.0,low_volume,17.29,polygon,7.21,35.3,12.8,0.49,n/a,36.4,16.92,-52.5,2.3,2.93,0.57,5.7,4.1,29.63,71.2,30.82,36.8,2.2,0.7,Bilibili Inc
2026-06-16,1,CAN,10.00,6.20,95.4,A,3,Infra,Computer Hardware,-82.8,3.9,17.1,neutral,0.35,finnhub,0.26,n/a,-1.6,-0.31,n/a,2.22,0.31,-84.1,13.8,10.08,0.85,8.9,5.8,1.69,377.8,0.51,3.5,-86.9,2.54,Canaan Inc
2026-06-16,1,CRM,10.00,6.05,95.4,A,5,Models,Software - Application,-40.0,4.0,13.7,neutral,162.79,finnhub,133.03,18.8,10.5,8.62,107.0,276.8,161.4,-41.3,0.6,13.96,0.85,8.6,4.5,255.28,57.2,42.83,77.6,21.8,1.15,"Salesforce, Inc"
2026-06-16,1,CSIQ,10.00,6.03,95.4,A,1,Energy,Solar,-50.1,4.1,18.7,neutral,16.75,finnhub,1.14,n/a,-38.2,-2.52,n/a,34.59,9.41,-51.5,78.4,3.07,0.72,27.5,4.2,17.47,4.0,5.48,22.2,6.8,1.49,Canadian Solar Inc
2026-06-16,1,CSPI,10.00,6.23,95.4,A,3,Infra,Information Technology Services,-38.0,4.2,46.2,elevated_volume,9.20,finnhub,0.09,n/a,n/a,-0.01,128.0,15.0,7.55,-38.6,22.0,0.02,1.69,3.7,18.1,n/a,n/a,0.06,32.7,-5.3,0.8,CSP Inc
2026-06-16,1,CTSH,10.00,6.10,95.4,A,3,Infra,Information Technology Services,-40.6,4.7,21.0,neutral,50.88,finnhub,24.07,11.0,8.3,4.61,260.0,87.03,45.48,-41.5,11.9,7.27,0.73,12.7,6.9,72.29,42.1,21.41,33.5,15.6,0.81,"Cognizant Technology Solutions Corporation, a professional services company, provides consulting and technology, and out…"
2026-06-16,1,CXM,10.00,5.98,95.4,A,5,Models,Software - Application,-43.5,5.0,17.3,neutral,5.28,finnhub,1.24,44.0,9.7,0.12,n/a,9.4,4.71,-43.9,11.9,3.93,0.74,15.9,5.0,7.88,49.3,0.87,66.3,4.5,0.59,"Sprinklr, Inc"
2026-06-16,1,ALIT,9.99,5.97,95.2,A,5,Models,Software - Application,-89.5,3.1,7.6,neutral,0.61,polygon,0.33,n/a,2.0,-5.84,1684.0,6.11,0.48,-90.2,25.6,28.51,0.97,9.3,1.9,2.2,265.8,2.25,38.5,-4.1,1.61,"Alight, Inc"
2026-06-16,1,AIFC,9.93,5.96,94.9,A,4,Data,Software - Infrastructure,-92.8,4.0,18.8,low_volume,0.71,finnhub,0.1,n/a,n/a,-7.88,n/a,10.38,0.63,-93.1,13.5,2.36,0.48,10.7,6.2,6.5,809.1,0.02,47.9,-58.2,1.7,"AI Financial Corporation, together with its subsidiaries, provides blockchain-powered technologies for tokenization, tra…"
2026-06-16,1,BMBL,9.87,5.95,94.8,A,5,Models,Internet Content & Information,-65.1,4.4,11.8,low_volume,2.99,polygon,0.46,n/a,3.0,-5.74,n/a,8.64,2.61,-65.3,14.9,3.23,0.61,11.8,3.3,4.34,44.7,0.93,71.9,31.5,1.88,Bumble Inc
2026-06-16,1,CARS,9.20,5.84,93.6,A,5,Models,Internet Content & Information,-27.8,4.8,22.6,low_volume,9.96,finnhub,0.56,23.2,4.0,0.43,n/a,13.97,7.4,-28.6,34.9,1.19,0.67,14.7,7.3,13.0,30.3,0.72,66.6,9.2,1.61,Cars
